symbol	price	datetime
SCTY	22.24	2016-03-28 09:30:00
SCTY	22.44	2016-03-28 09:31:00
SCTY	22.36	2016-03-28 09:32:00
SCTY	22.15	2016-03-28 09:33:00
SCTY	22.12	2016-03-28 09:34:00
SCTY	22.26	2016-03-28 09:35:00
SCTY	22.23	2016-03-28 09:36:00
SCTY	22.06	2016-03-28 09:37:00
SCTY	22.01	2016-03-28 09:38:00
SCTY	22.03	2016-03-28 09:39:00
SCTY	21.83	2016-03-28 09:40:00
SCTY	21.78	2016-03-28 09:41:00
SCTY	21.72	2016-03-28 09:42:00
SCTY	21.91	2016-03-28 09:43:00
SCTY	21.85	2016-03-28 09:44:00
SCTY	21.89	2016-03-28 09:45:00
SCTY	21.94	2016-03-28 09:46:00
SCTY	21.91	2016-03-28 09:47:00
SCTY	21.88	2016-03-28 09:48:00
SCTY	21.84	2016-03-28 09:49:00
SCTY	21.75	2016-03-28 09:50:00
SCTY	21.78	2016-03-28 09:51:00
SCTY	21.8	2016-03-28 09:52:00
SCTY	21.75	2016-03-28 09:53:00
SCTY	21.74	2016-03-28 09:54:00
SCTY	21.83	2016-03-28 09:55:00
SCTY	21.88	2016-03-28 09:56:00
SCTY	21.91	2016-03-28 09:57:00
SCTY	22.1	2016-03-28 09:58:00
SCTY	22.11	2016-03-28 09:59:00
SCTY	22.18	2016-03-28 10:00:00
SCTY	22.25	2016-03-28 10:01:00
SCTY	22.2	2016-03-28 10:02:00
SCTY	22.03	2016-03-28 10:03:00
SCTY	21.96	2016-03-28 10:04:00
SCTY	21.94	2016-03-28 10:05:00
SCTY	21.87	2016-03-28 10:06:00
SCTY	21.83	2016-03-28 10:07:00
SCTY	21.87	2016-03-28 10:08:00
SCTY	21.91	2016-03-28 10:09:00
SCTY	21.97	2016-03-28 10:10:00
SCTY	22.08	2016-03-28 10:11:00
SCTY	22.04	2016-03-28 10:12:00
SCTY	22.1	2016-03-28 10:13:00
SCTY	22.14	2016-03-28 10:14:00
SCTY	22.22	2016-03-28 10:15:00
SCTY	22.18	2016-03-28 10:16:00
SCTY	22.15	2016-03-28 10:17:00
SCTY	22.1	2016-03-28 10:18:00
SCTY	22.09	2016-03-28 10:19:00
SCTY	22.05	2016-03-28 10:20:00
SCTY	22.06	2016-03-28 10:21:00
SCTY	22.01	2016-03-28 10:22:00
SCTY	21.99	2016-03-28 10:23:00
SCTY	21.96	2016-03-28 10:24:00
SCTY	22.06	2016-03-28 10:25:00
SCTY	22.12	2016-03-28 10:26:00
SCTY	22.11	2016-03-28 10:27:00
SCTY	22.04	2016-03-28 10:28:00
SCTY	22.03	2016-03-28 10:29:00
SCTY	22.01	2016-03-28 10:30:00
SCTY	21.9	2016-03-28 10:31:00
SCTY	21.88	2016-03-28 10:32:00
SCTY	21.98	2016-03-28 10:33:00
SCTY	21.89	2016-03-28 10:34:00
SCTY	21.85	2016-03-28 10:35:00
SCTY	21.86	2016-03-28 10:36:00
SCTY	21.84	2016-03-28 10:37:00
SCTY	21.86	2016-03-28 10:38:00
SCTY	21.81	2016-03-28 10:39:00
SCTY	21.79	2016-03-28 10:40:00
SCTY	21.75	2016-03-28 10:41:00
SCTY	21.77	2016-03-28 10:42:00
SCTY	21.76	2016-03-28 10:43:00
SCTY	21.72	2016-03-28 10:44:00
SCTY	21.77	2016-03-28 10:45:00
